"code","customs_code","language"
"aftershave-lotions","3307100000","en"
"anti-cellulite-creams","3304990000","en"
"apricots","0813000000","en"
"bath-time",,"en"
"battery-chargers","8504405590","en"
"camping-and-mountain-accessories",,"en"
"camping-mountain-2",,"en"
"candles-candle-holders","3406000000","en"
"canned_soups","2104100019","en"
"car-air-fresheners","3307490000","en"
"cherries","2008606000","en"
"chickpeas","2005998029","en"
"compact-powders","3304910000","en"
"corn","2005800010","en"
"cosmetic-perfume-sets","3401300000","en"
"face-body-tratments","3304990000","en"
"for-travel","9603210000","en"
"gifts-for-men",,"en"
"hair-foam","3305900000","en"
"hair-treatments","3305900000","en"
"health-hygiene","2505900000","en"
"home-textiles","6302910090","en"
"horseradish","2103900000","en"
"ketchups","2103200000","en"
"make-up-removers","3304990000","en"
"mandarins","2008307590","en"
"natural-cosmetics","3304990000","en"
"original-gadgets",,"en"
"peaches","2008707190","en"
"pineapples","2008207900","en"
"porridge","1901100000","en"
"protective-sun-creams-for-the-fa","3304990000","en"
"saline-batteries","8506808000","en"
"stick-deodorants","3307200000","en"
"tanning-activators","3304990000","en"
"tanning-lotions","3304990000","en"
"toiletries-bags","4202000000","en"
"toys-fancy-dress",,"en"
"towels","6302910090","en"
"unisex-perfumes","3303009000","en"
"after-sun","3304990000","en"
"anti-wrinkles-moisturising-cream","3304990000","en"
"bathroom",,"en"
"bathroom-accessories","7009920000","en"
"beets","2001909700","en"
"body-creams","3304990000","en"
"candle-wax","3406000000","en"
"coffee","0901210000","en"
"cucumbers","2001100000","en"
"dishwasher","3402209000","en"
"dry-shampoos","3305100000","en"
"face-beard","3307100000","en"
"face-cream","3304990000","en"
"face-sprayer","3304990000","en"
"hair-cream","3305900000","en"
"hair-mask","3305900000","en"
"hair-serum","3305900000","en"
"hair-straighteners","8516320000","en"
"hairsprays","3305300000","en"
"makeup","3304990000","en"
"olive_oil","1509900000","en"
"paprika","2005998000","en"
"parfumes-home","3307490000","en"
"pears","2008407900","en"
"peas","2005400000","en"
"roll-on-deodorants","3307200000","en"
"self-care-gifts",,"en"
"sports-fitness",,"en"
"sunflower_oil","1512199010","en"
"suntan-oils","3304990000","en"
"teleshopping-as-seen-on-tv",,"en"
"teleshopping-as-seen-on-tv-healt",,"en"
"air-fresheners","3307490000","en"
"balsam","3305900000","en"
"beans","2005590000","en"
"candles-holders",,"en"
"children-s-perfumes","3303009000","en"
"chocolate_bars","1806208000","en"
"conditioners","3305900000","en"
"eyeliners-eye-pencils","3304200000","en"
"hair-oil","3305900000","en"
"hair-sprayer","3305900000","en"
"makeup-contour","3304910000","en"
"makeup-palettes","3304990000","en"
"milk_mixes","1901100000","en"
"olives","2005700000","en"
"other_served_fruits","2008996700","en"
"parasites","3808919090","en"
"pastee","1902199000","en"
"rapeseed_oil","1514199000","en"
"serums","3304990000","en"
"shaving-creams","3307100000","en"
"spray-deodorants","3307200000","en"
"alkaline-batteries","8506101800","en"
"candles","3406000000","en"
"canned_mushrooms","2001905000","en"
"cleanser-exfoliants","3401300000","en"
"dragees",,"en"
"flour_mixtures","11031990","en"
"hair-mask-treatments","3305900000","en"
"hair-trimmers","8510300000","en"
"hand-care","3304990000","en"
"lipsticks-lip-glosses","3304100000","en"
"manicure-pedicure","3304300000","en"
"protective-sun-creams-for-the-bo","3304990000","en"
"self-tanners","3304990000","en"
"tea","0902400000","en"
"toilet-paper","4818100000","en"
"washing","3402209000","en"
"blushers","3304990000","en"
"body-lotion","3401300000","en"
"body-spray","3307200000","en"
"computers-electronics",,"en"
"cookies","1905904500","en"
"electronics-batteries","8506808000","en"
"foot-care","3304990000","en"
"hair-dryers","8516310000","en"
"hair-set","3305900000","en"
"intimate-hygiene","3307900000","en"
"mascara","3304200000","en"
"other_canned_vegetables","2001909700","en"
"other_sauces","2103909000","en"
"perfumes-for-women","3303009000","en"
"sauces","2103909000","en"
"shampoos","3305100000","en"
"softeners-conditioners","3305900000","en"
"tomatoes","2002109000","en"
"chocolates","1806310000","en"
"combs-brushes","9603293000","en"
"cooking-oil","1512199010","en"
"face-set","3304990000","en"
"gifts-for-women",,"en"
"makeup-set","3304990000","en"
"nuts","0802000000","en"
"original-gifts",,"en"
"perfumes-for-men","3303009000","en"
"scented-candles","3406000000","en"
"solar-line","3304990000","en"
"tyreles","2005100080","en"
"baby-cosmetics","4014900000","en"
"cooking-flour","11031990","en"
"drinkables",,"en"
"hair-mousse","3305900000","en"
"pets-food","2309101100","en"
"body-scrub","3401300000","en"
"decoration-lighting",,"en"
"eye-shadows","3304200000","en"
"face-masks","3304990000","en"
"flakes","1904103000","en"
"makeup-correctors","3304910000","en"
"makeup-eyebrows","3304200000","en"
"oral-hygiene","3306900000","en"
"pets",,"en"
"snacks",,"en"
"baby-food","1901100000","en"
"cleaning","3402209000","en"
"eye-contour-creams","3304200000","en"
"gourmet",,"en"
"babies-children",,"en"
"canned-fruits","2008996700","en"
"hair-dyes","3305900000","en"
"body-set","3304990000","en"
"makeup-brush","9603309000","en"
"moisturisers-exfoliants","3304990000","en"
"other-cleaning-products","3401300000","en"
"tonics-cleansing-milks","3304990000","en"
"soaps-gels","3401300000","en"
"perfumes","3303009000","en"
"hair-removal-shaving","3307100000","en"
"candy",,"en"
"beauty-treatments",,"en"
"personal-hygiene",,"en"
"accessories-organisers",,"en"
"canned-food","2001100000","en"
"hair-products","3305900000","en"
"cleaning-vacuuming-ironing",,"en"
"face-care","3304990000","en"
"groceries",,"en"
"cosmetics",,"en"
"health-beauty",,"en"
"home-garden",,"en"
"body-care",,"en"
"perfumes-cosmetics",,"en"
"gourmet-kitchen",,"en"
