"code","classificator_group","customs_code","language"
"accessories ","type",,"en"
"advento-kalendorius ","type",,"en"
"akiu-apvadas ","type","3304200000","en"
"akiu-konturas ","type","3304200000","en"
"akiu-konturo-gelis ","type","3304200000","en"
"akiu-konturo-piestukas ","type","3304200000","en"
"akiu-makiazo-baze ","type","3304200000","en"
"akiu-makiazo-rinkinys ","type","3304200000","en"
"akiu-makiazo-valiklis ","type","3304200000","en"
"akiu-piestukas ","type","3304200000","en"
"akiu-seseliai ","type","3304200000","en"
"akiu-seseliu-aplikatoriu-rinkinys ","type","3304200000","en"
"akiu-seseliu-aplikatorius ","type","3304200000","en"
"akiu-seseliu-baze ","type","3304200000","en"
"akiu-seseliu-pagrindas ","type","3304200000","en"
"akiu-seseliu-palete ","type","3304200000","en"
"akiu-seseliu-rinkinys ","type","3304200000","en"
"akiu-srities-kauke ","type","3304990000","en"
"akiu-srities-kremas ","type","3304990000","en"
"akiu-srities-serumas ","type","3304990000","en"
"aktyvatorius ","type","3305900000","en"
"akys ","type","3304200000","en"
"antakiu-dazai- ","type","3304200000","en"
"antakiu-formeliu-rinkinys ","type","3924900090","en"
"antakiu-gelis ","type","3304990000","en"
"antakiu-ir-blakstienu-dazai ","type","3304200000","en"
"antakiu-ir-blakstienu-dazymo-priedas ","type","3304200000","en"
"antakiu-piestukas ","type","3304200000","en"
"antakiu-priemone ","type","3304200000","en"
"antakiu-prieziuros-rinkinys ","type","3304200000","en"
"antakiu-sepetelis ","type","9603309000","en"
"antakiu-serumas ","type","3304200000","en"
"antakiu-seseliai ","type","3304200000","en"
"antakiu-skustuvas ","type","8212109000","en"
"antakiu-tusas ","type","3304200000","en"
"antakiu-vaskas ","type","3307900000","en"
"antibacterial-soap ","type","3808949090","en"
"antibakterinis-ranku-gelis ","type","3808949090","en"
"antibakterinis-valiklis ","type","3808949090","en"
"antiperspirantas ","type","3307200000","en"
"apatiniai ","type","6302910090","en"
"apsauga-nuo-saules ","type",,"en"
"apsiaustai ","type",,"en"
"apvalus-sepetys ","type","9603293000","en"
"arbata ","type","902400000","en"
"aromatinis-eterinis-aliejus ","type","3301000000","en"
"audiniu-baliklis ","type","3402209000","en"
"audiniu-demiu-valiklis ","type","3401300000","en"
"audiniu-gaiviklis ","type","3307490000","en"
"audiniu-lyginimo-purskiklis ","type","3402209000","en"
"audiniu-minkstiklis ","type","3402209000","en"
"audiniu-prieziuros-priemone ","type","3402209000","en"
"ausu-krapstukai ","type","5601290000","en"
"automobilio-gaiviklis ","type","3307490000","en"
"automobilio-prieziuros-priemone ","type","3403990090","en"
"automobilio-sampunas ","type","3402209000","en"
"automobilio-sampunas-automobilio-vaskas ","type","3403990090","en"
"automobilio-vaskas ","type","3403990090","en"
"baby-food ","type",,"en"
"bakaleja ","type",,"en"
"balsam ","type","3305900000","en"
"balzdos-balzamas ","type","3305900000","en"
"barzdos-aliejus ","type","3305900000","en"
"barzdos-balzamas ","type","3305900000","en"
"barzdos-ir-usu-prieziuros-rinkinys ","type","3305900000","en"
